ID_заказа,ID_исполнителя,тип_работы,город,продолжительность_заказа,расстояние_от_центра,рейтинг_исполнителя,возраст_исполнителя,опыт_работы,наличие_бонусов,историческая_средняя_зарплата,уровень_безработицы,день_недели,время_суток,сезон,вышел_на_смену
1,103,покраска,Новосибирск,10,21.038546492643576,1.8833992660350147,27,0,1,4189.151586094889,7.791620012242321,4,1,4,0
2,436,электрика,Екатеринбург,5,29.320708300402814,2.400414270298315,52,12,1,3484.8588016219187,4.926553894287827,4,17,2,1
3,861,электрика,Москва,9,22.623675482570302,4.219037594362179,50,35,0,3629.448537342594,2.371966102391536,1,10,1,1
4,271,покраска,Екатеринбург,5,8.895131801905643,3.5874298795378405,55,37,0,3612.0019469064146,6.634247130950231,5,8,2,1
5,107,уборка,Екатеринбург,10,12.888685012359677,4.1437636714548,52,12,0,1628.860452506548,1.2767183955243888,6,8,4,0
6,72,штукатурка,Новосибирск,6,11.837370246021965,3.3321244253412248,44,13,1,2102.978177942007,2.1529834003444615,6,14,2,0
7,701,уборка,Санкт-Петербург,11,25.636803032387842,2.030932312236587,24,11,0,4047.532147850989,2.5673318776665086,6,12,1,1
8,21,уборка,Москва,4,23.255437976730605,1.9119767208501766,44,33,1,3760.0132607523105,5.844540388035631,7,17,4,1
9,615,покраска,Екатеринбург,10,17.874775325464846,1.0360028234549992,58,26,0,3058.5154964709213,5.522387532128542,5,0,3,1
10,122,штукатурка,Новосибирск,1,8.611293756708646,4.1239285474962895,29,11,0,1571.398393673715,5.1954117137882205,7,16,4,1
11,467,штукатурка,Санкт-Петербург,4,28.170661567800657,4.3884849046588705,50,37,0,2958.955530955137,0.9740721982064848,4,11,2,0
12,215,уборка,Екатеринбург,2,19.772799130689826,4.0731303985136655,30,35,1,2367.8396045823124,7.801114720837941,7,20,2,0
13,331,покраска,Новосибирск,10,29.12906107003258,1.297608230913963,19,0,1,3940.442348092672,1.3178531909832925,4,18,1,1
