тип_работы,продолжительность_заказа,город,расстояние_от_центра,требуемая_квалификация,сезон,день_недели,время_суток,наличие_бонусов,средняя_температура,количество_доступных_работников,историческая_средняя_цена,уровень_безработицы,средний_рейтинг,цена_за_смену,время_самодобавления
электрика,3,Санкт-Петербург,24.38862878878026,высокая,8,7,6,1,10.548219883327057,94,4523.1545252795095,8.653289754829157,3.2969776050761284,4557.903696509099,1.0317804643152697
уборка,8,Москва,7.6831101459628695,высокая,10,7,8,1,32.55965706776808,46,2259.5902332132982,4.129338225749275,4.80755917855115,2031.5512034658489,0.16618304091876404
штукатурка,7,Москва,26.553691133122534,средняя,2,5,11,1,-27.25234371058455,3,2140.2329227056257,9.632808773622328,1.987069153574156,3724.7438822914037,0.3144388926404325
электрика,3,Екатеринбург,17.05093769331776,низкая,4,1,9,1,-18.62639691797745,57,4023.331047427653,6.310395343830884,3.2745133131175153,2843.5200120909794,3.659446210492715
электрика,6,Санкт-Петербург,18.470658941699917,высокая,12,7,9,1,-5.296826267986415,53,4915.275299916679,7.566519759306272,4.241911780676086,8581.923176153523,1.879586142400753
уборка,4,Санкт-Петербург,26.314239442983812,средняя,3,2,12,0,10.388393603716835,62,3065.6506518581837,5.0985778536969875,1.9298476364129922,3366.3272057270797,3.302482150825851
штукатурка,11,Новосибирск,24.618689291555413,высокая,6,3,4,0,-8.581351250318832,13,2725.4816504466057,4.297578402261824,4.484594552858435,9949.468853875565,2.808383772914629
штукатурка,5,Екатеринбург,18.24608103024606,высокая,11,7,21,0,16.271811325895392,51,2388.792062618514,0.8467767851041175,3.556510759753568,6901.610231993511,4.9014029711911915
электрика,11,Санкт-Петербург,22.719037263521138,средняя,1,5,7,0,-19.266579452691694,19,1674.0930228075495,1.1994919016453365,2.524282318643775,4583.359164143885,3.5920948448466694
покраска,5,Новосибирск,13.282924961870457,высокая,9,7,9,0,9.041376307583604,59,2124.449425361169,5.7170378761363585,3.5907687497095107,6038.146311558956,4.9149657640263404
электрика,7,Москва,16.647643728242514,низкая,5,7,5,1,-4.13219844898391,62,1826.9527317646366,6.136337392933279,4.712248794945566,9693.687382380896,1.5710515384761068
электрика,11,Новосибирск,2.3310690329010786,низкая,5,1,10,1,3.0356636154038057,37,3229.3554414142336,9.84754839540302,4.952702579508589,7089.193558515936,1.7250966435140593
электрика,5,Санкт-Петербург,3.1508085810013817,высокая,4,5,3,1,7.026148969607483,77,4923.691344339275,8.577432546706252,2.12573688490214,8028.963178439694,2.5995430182670685
электрика,11,Новосибирск,24.968049423496794,высокая,4,6,1,0,-26.106767783073565,15,4255.908484597701,8.444868080803143,4.636297236295145,5949.91795069641,2.533123387948398
уборка,3,Новосибирск,2.2603138426336518,средняя,1,2,5,0,30.061576982996215,90,3605.915292599131,2.866037873767,1.1543452531640113,6261.959359962249,2.6502961771506994
штукатурка,10,Екатеринбург,5.497274206161915,низкая,9,6,12,0,21.09596928483193,70,3203.233944108594,4.117819633463765,1.0290947760512807,9871.350713631258,4.275301035240596
уборка,5,Екатеринбург,23.977063439038027,высокая,9,4,11,0,-1.2403737319179164,91,3660.136968611679,1.0212903998565837,3.4064668753637726,6835.804077500928,3.599563081828559
уборка,7,Москва,0.5338055435335605,низкая,4,3,13,1,5.5855173977823185,12,2816.0932507682173,5.815364462735866,2.9265827563053426,6335.376591718672,0.9725895839290067
уборка,5,Екатеринбург,8.830927700952998,высокая,10,6,7,1,-27.88518580322647,89,2124.3485277572017,0.6953780315431424,2.8767321644559543,8987.45116681551,2.9755302063486746
электрика,5,Новосибирск,17.729140405885342,средняя,10,1,2,0,2.366576678022234,50,3564.2077875964196,4.468308253943762,1.9362651299209621,5593.628550371199,0.9582052011692873
покраска,9,Екатеринбург,18.06577297834425,средняя,4,2,4,0,-2.289463817098376,47,3348.3615115058165,5.661997624810374,3.389845556583036,5788.979163740059,2.1639067788209014
штукатурка,3,Санкт-Петербург,23.42601079276947,низкая,12,7,21,1,-5.658457650261813,16,4805.878407365261,2.2818494302422154,1.0677732428759152,7681.653026539642,4.55661533003136
покраска,6,Новосибирск,15.424824507519029,низкая,7,7,6,0,22.997888686446878,16,3774.414964724198,7.754442983785629,2.735249349757218,3278.51709037043,0.4584988397367684
уборка,1,Новосибирск,15.527355151163626,высокая,4,2,17,1,-18.17491565600294,67,4207.006781025009,6.748476390732607,2.4677490676685396,3041.6666622016282,4.820197729218752
уборка,10,Новосибирск,21.896661978450663,высокая,1,7,5,0,-18.53983378028946,34,1824.4560055991506,1.478651288782068,1.772214361233167,6946.667308146774,1.1851518103312488
